date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-06-17 00:00:00,1.8,-2,8,0,,315,22.4,,,
2018-06-18 00:00:00,0.9,-2.7,6,,,311,26.4,,,
2018-06-19 00:00:00,1.4,-0.7,4.6,,,295,37,,,
2018-06-20 00:00:00,2.2,0.5,4,,,291,40.9,,,
2018-06-21 00:00:00,-0.7,-3.3,4.4,0,,273,30.3,,,
2018-06-22 00:00:00,-3.2,-6.2,1.8,0,,248,21.4,,994,
2018-06-23 00:00:00,-3.7,-6.5,1,0,,253,16.5,,,
2018-06-24 00:00:00,-1.9,-6,0.6,2,20,,7.8,,,
2018-06-25 00:00:00,1.3,-3.1,3,3,10,73,17.5,,,
2018-06-26 00:00:00,0.8,-0.4,3.3,1,,305,9.6,,,
2018-06-27 00:00:00,-1.6,-4,1,0,,213,6.6,,,
2018-06-28 00:00:00,-4.7,-8,-0.3,,,,7.6,,,
2018-06-29 00:00:00,-3.9,-7,0.2,,,252,14,,,
2018-06-30 00:00:00,-3.2,-6,1,,,253,14.5,,,
2018-07-01 00:00:00,-1.3,-4,1.5,,,243,17.5,,,
2018-07-02 00:00:00,-4.7,-7.6,1.3,0,,247,13.8,,1023.9,
2018-07-03 00:00:00,-1.8,-7,0.5,,,237,8.9,,,
2018-07-04 00:00:00,-6.6,-10,0.9,,,221,9.9,,,
2018-07-05 00:00:00,-3.7,-9.8,-0.7,0,,208,7.7,,,
2018-07-06 00:00:00,-0.7,-7.5,2,0,,178,8.9,,,
2018-07-07 00:00:00,0.7,-3,2.2,0,,235,9.9,,,
2018-07-08 00:00:00,-0.9,-5.5,4,,,272,9.1,,1021.7,
2018-07-09 00:00:00,4.4,-2.3,8.3,2,,324,24.1,,1005.6,
2018-07-10 00:00:00,3.8,1,8.5,0,,310,26.2,,999.3,
2018-07-11 00:00:00,1.7,-0.5,5.5,0,,297,31.8,,,
2018-07-12 00:00:00,0,-2.5,3.8,,,249,19.7,,,
2018-07-13 00:00:00,-3.8,-7,3.2,,,240,13.3,,,
2018-07-14 00:00:00,-2.4,-6.8,2.4,,,223,9.6,,1004.4,
2018-07-15 00:00:00,-4.2,-7.3,2.7,,,244,10.7,,,
2018-07-16 00:00:00,-7.8,-12.5,0.5,,,241,10.3,,1021.5,
2018-07-17 00:00:00,-7.2,-12.5,-1,,,226,11.4,,1027.1,
2018-07-18 00:00:00,-5.5,-11.2,1,,,273,11.6,,1033.9,
2018-07-19 00:00:00,-6.2,-12.5,3,,,275,13.6,,,
2018-07-20 00:00:00,3.3,2,4,,,353,23.8,,1011.3,
2018-07-21 00:00:00,-0.4,-4,4.5,2,,236,10.8,,,
2018-07-22 00:00:00,-2,-5,2,0,,268,15.5,,1002.6,
2018-07-23 00:00:00,3.4,-3.8,6.3,0,,309,29.7,,,
2018-07-24 00:00:00,5,1,8,,,309,35.7,,997.4,
