Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-02-25,264.6862959002863,8.478272742695268,1864.2459026325903,53.06327319145198,2018-02-25,12.7,7.0,18.0,285.0,28.9,8.027777777777777,5.9925192011727155,Bajo,0
2018-02-26,1261.9876965416788,9.43760482470192,2172.5709669622543,130.09408919016488,2018-02-26,13.1,8.0,16.0,274.0,33.8,9.388888888888888,6.740340672598929,Bajo,0
2018-02-28,1448.5125252994592,8.85781048734981,1598.6897079751388,148.22152170538874,2018-02-28,12.7,9.0,17.0,309.0,38.8,10.777777777777777,6.570241847965441,Bajo,0
2018-03-01,946.0591765509704,6.628722937984582,1189.1685800812395,143.1410184767508,2018-03-01,11.1,7.0,16.0,283.0,46.9,13.027777777777777,5.882789318346305,Bajo,0
2018-03-02,3231.555320951671,14.906118651231084,3506.7717890225413,195.9168856938676,2018-03-02,13.2,6.0,17.0,298.0,35.5,9.86111111111111,10.315893412960873,Medio,0
2018-03-04,1897.7235193791169,10.947821884519492,1954.673858922036,180.22226098448832,2018-03-04,7.9,1.0,16.0,280.0,26.4,7.333333333333333,7.9353597973783625,Bajo,0
2018-03-05,772.1458062993147,5.8251402440170335,888.7925721824165,163.88953044679386,2018-03-05,11.7,7.0,18.0,299.0,44.5,12.36111111111111,5.267306368632442,Bajo,0
2018-03-06,3326.941890292695,14.369281248913827,3417.595414103508,198.67427794138547,2018-03-06,12.9,10.0,14.0,293.0,26.8,7.444444444444445,9.110457638237184,Bajo,0
2018-03-07,3378.5863664415124,16.088804112540302,3526.972502914853,212.9062510596376,2018-03-07,11.3,6.0,16.0,304.0,29.6,8.222222222222223,10.697726911968624,Medio,0
2018-03-09,13.639416456222518,2.7067907976193517,40.72011365979007,250.36180302417904,2018-03-09,6.2,2.0,11.0,238.0,11.8,3.2777777777777777,2.0796300341271663,Bajo,1
2018-03-10,383.8977272427161,4.267790407567585,475.1897439753861,126.69263922751344,2018-03-10,5.4,-2.0,11.0,313.0,19.6,5.444444444444445,3.84956313342944,Bajo,0
2018-03-11,1132.7668538061478,6.812015106280628,1264.8815431994192,219.82006136576288,2018-03-11,10.7,8.0,14.0,303.0,23.9,6.638888888888888,4.614986841546154,Bajo,0
2018-03-12,1814.586851543848,9.168704440196334,1989.1368746624655,198.02596579657612,2018-03-12,11.1,8.0,15.0,301.0,30.9,8.583333333333332,6.417889330784467,Bajo,0
2018-03-15,1368.0852023876355,7.279897596273141,1538.8028635479327,212.42793055375373,2018-03-15,6.6,3.0,12.0,272.0,13.5,3.75,4.817938557763885,Bajo,0
2018-03-16,2434.3104462093743,11.1196474002467,2549.282913520417,200.9467165205209,2018-03-16,4.5,1.0,8.0,204.0,12.3,3.416666666666667,7.255121773481354,Bajo,0
2018-03-17,3389.445553885564,16.547804097334495,3579.214442792434,194.68152872721305,2018-03-17,6.7,1.0,13.0,289.0,34.2,9.5,11.728682458400698,Medio,0
2018-03-18,3245.5485941568986,15.256162156661311,3350.289334113349,199.280179129706,2018-03-18,9.1,2.0,13.0,294.0,33.6,9.333333333333334,10.820363960663455,Medio,0
2018-03-19,1585.6931148875071,8.145406137737945,1703.171475282439,208.67744223276728,2018-03-19,2.9,-3.0,10.0,249.0,21.3,5.916666666666667,6.3705770159761,Bajo,0
2018-03-20,2932.6448610093835,13.46445825364851,3069.203882305526,221.23248238033665,2018-03-20,8.3,2.0,15.0,267.0,29.5,8.194444444444445,9.517563841077996,Bajo,0
2018-03-21,2403.1811342413207,9.953818817933367,2543.986443423084,196.8269028200039,2018-03-21,7.7,1.0,11.0,314.0,17.6,4.888888888888889,6.850069068537798,Bajo,0
2018-03-22,2003.2250226868505,8.977829557326078,2108.7840948577964,84.29157137870776,2018-03-22,10.4,6.0,15.0,297.0,26.5,7.361111111111111,6.25891995661787,Bajo,0
2018-03-25,1216.404749519294,7.079466273387257,1258.4575027893495,198.12084346347336,2018-03-25,10.7,7.0,15.0,292.0,30.8,8.555555555555555,5.258790875143465,Bajo,0
2018-03-26,2394.5787578986733,11.365639633602532,2589.078403807603,187.08393955230665,2018-03-26,9.1,5.0,11.0,316.0,33.4,9.277777777777777,8.174939335717074,Bajo,0
2018-03-27,2481.1463529798693,11.01555615994662,2703.3525016202952,220.99598662058463,2018-03-27,5.9,1.0,12.0,322.0,33.5,9.305555555555555,8.370444807079084,Bajo,0
2018-03-28,908.2361274225004,6.080719340178695,977.9267491846172,124.12407966537585,2018-03-28,7.3,1.0,11.0,296.0,27.6,7.666666666666667,5.081764937440551,Bajo,0
